Object: Cube
----------------------------------------
POS -0.00 0.71 -0.00 | UV 1.00 1.00 | NORM -0.56 0.56 0.62 | TAN 0.71 0.71 0.00
POS 1.00 -1.00 1.00 | UV 0.62 0.50 | NORM 0.00 -1.00 0.00 | TAN 0.00 0.00 1.00
POS -1.00 -1.00 1.00 | UV 0.62 0.75 | NORM 0.00 -1.00 0.00 | TAN 0.00 0.00 1.00
POS -1.00 -1.00 -1.00 | UV 0.38 0.75 | NORM 0.00 -1.00 0.00 | TAN 0.00 0.00 1.00
POS 1.00 1.00 -1.00 | UV 0.38 0.75 | NORM 1.00 0.00 0.00 | TAN 0.00 0.00 1.00
POS 1.00 1.00 1.00 | UV 0.62 0.75 | NORM 1.00 0.00 0.00 | TAN 0.00 0.00 1.00
POS 1.00 -1.00 1.00 | UV 0.62 1.00 | NORM 1.00 0.00 0.00 | TAN 0.00 0.00 1.00
POS 1.00 -1.00 -1.00 | UV 0.38 1.00 | NORM 1.00 0.00 0.00 | TAN 0.00 0.00 1.00
POS -1.00 1.00 -1.00 | UV 0.12 0.50 | NORM 0.00 1.00 0.00 | TAN 0.00 0.00 1.00
POS -1.00 1.00 1.00 | UV 0.38 0.50 | NORM 0.00 1.00 0.00 | TAN 0.00 0.00 1.00
POS 1.00 1.00 1.00 | UV 0.38 0.75 | NORM 0.00 1.00 0.00 | TAN 0.00 0.00 1.00
POS 1.00 1.00 -1.00 | UV 0.12 0.75 | NORM 0.00 1.00 0.00 | TAN 0.00 0.00 1.00
POS -1.00 -1.00 -1.00 | UV 0.62 0.50 | NORM -1.00 0.00 0.00 | TAN 0.00 0.00 1.00
POS -1.00 -1.00 1.00 | UV 0.88 0.50 | NORM -1.00 0.00 0.00 | TAN 0.00 0.00 1.00
POS -1.00 1.00 1.00 | UV 0.88 0.75 | NORM -1.00 0.00 0.00 | TAN 0.00 0.00 1.00
POS -1.00 1.00 -1.00 | UV 0.62 0.75 | NORM -1.00 0.00 0.00 | TAN 0.00 0.00 1.00

